format,Material,Semi-finished productsLOT NO,分條時間,Slitting machine,Semi-finished products impedance,Heat gun temperature,Rubber wheel gasket thickness (in),Rubber wheel gasket thickness (out),Rewind torque,Slitting speed,Meters completed,Winder number,Board Width(mm),Thicknessss High(μm),Thicknessss Low(μm),Appearance,rough edge,Striped Results,Thickness diff, Qaulity inspecrion,Qaulity control
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,1,7.987,331,315,1,1,1,16,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,2,7.986,331,313,1,1,1,18,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,3,7.988,330,310,1,1,1,20,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,4,7.986,330,310,1,1,1,20,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,5,7.98,327,316,1,1,1,11,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,6,7.981,323,309,1,1,1,14,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,7,7.979,326,308,1,1,1,18,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,8,7.98,321,310,1,1,1,11,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,9,7.978,325,311,1,1,1,14,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,10,7.977,321,310,1,1,1,11,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,11,7.989,326,309,1,1,1,17,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,12,7.994,325,312,1,1,1,13,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,13,7.99,328,314,1,1,1,14,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,14,7.981,327,313,1,1,1,14,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,15,7.987,326,312,1,1,1,14,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,16,7.996,325,314,1,1,1,11,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,17,7.998,329,316,1,1,1,13,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,18,7.987,327,317,1,1,1,10,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,19,7.986,326,318,0,0,0,8,ronie,ling
PE32,H5,2507173-02,114年8月20日11:00,1,10^10,0,8.5,10.2,0,60,4375,20,7.988,329,320,0,0,0,9,ronie,ling
